Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
98	22130	Croskey-Merritt, Jacory	WAS	RB	95.83	73	126		103		
99	16075	Andrews, Mark	BAL	TE	97.46	57	126		103		
100	15316	Godwin, Chris	TB	WR	97.55	73	137		103		
101	15238	Engram, Evan	DEN	TE	100.04	73	127		103		
102	18771	Williams, Javonte	DAL	RB	101.53	59	125		103		
103	15227	Njoku, David	CLE	TE	105.04	81	136		103		
104	16132	Kirk, Christian	HOU	WR	107.40	85	130		103		
105	22077	Skattebo, Cam	NYG	RB	108.63	93	130		103		
106	21132	Allen, Braelon	NYJ	RB	111.60	85	141		103		
107	18169	Mooney, Darnell	ATL	WR	111.84	87	138		103		
108	20293	Mims, Marvin	DEN	WR	113.29	79	145		103		
109	20312	Kraft, Tucker	GB	TE	113.57	79	141		103		
110	21135	Benson, Trey	ARZ	RB	114.13	90	139		103		
111	20311	Reed, Jayden	GB	WR	115.14	88	155		103		
112	15896	Ekeler, Austin	WAS	RB	116.16	78	145		103		
113	22106	Tuten, Bhayshul	JAX	RB	117.10	96	144		103		
114	19468	Robinson, Brian	SF	RB	117.96	77	159		103		
115	22062	Judkins, Quinshon	CLE	RB	118.90	92	167		103		
116	22114	Higgins, Jayden	HOU	WR	119.40	99	150		103		
117	22071	Gordon, Ollie	MIA	RB	119.72	88	149		103		
118	19934	Shaheed, Rashid	SEA	WR	120.07	99	149		103		
119	22075	Loveland, Colston	CHI	TE	121.39	61	149		103		
120	17009	Murray, Kyler	ARZ	QB	123.37	83	156		103		
121	11857	Allen, Keenan	LAC	WR	123.45	86	156		103		
122	18791	Stevenson, Rhamondre	NE	RB	123.95	98	160		103		
123	18826	Harris, Najee	LAC	RB	124.83	94	152		103		
124	22092	Blue, Jaydon	DAL	RB	125.05	98	155		103		
125	22099	Sampson, Dylan	CLE	RB	125.53	97	168		103		
126	20279	Bigsby, Tank	PHI	RB	125.56	97	154		103		
127	22060	Burden, Luther	CHI	WR	125.99	98	164		103		
128	16067	Chubb, Nick	HOU	RB	126.84	77	153		103		
129	19742	Purdy, Brock	SF	QB	128.99	88	186		103		
130	17983	Aiyuk, Brandon	SF	WR	130.57	98	182		103		
131	14748	Goff, Jared	DET	QB	130.75	89	181		103		
132	18785	Bateman, Rashod	BAL	WR	132.29	97	159		103		
133	19476	Ferguson, Jake	DAL	TE	133.50	98	163		103		
134	21151	Davis, Ray	BUF	RB	133.63	74	162		103		
135	17007	Brown, Hollywood	KC	WR	133.83	102	163		103		
