Rank,Player,Team,FantasyPts
176,Wil Lutz,DEN,141.3
177,Cairo Santos,CHI,140.4
178,Dustin Hopkins,CLV,139.6
179,Michael Wilson,ARZ,139.3
180,Matthew Wright,CAR,138.7
181,Blake Grupe,NO,138.5
182,Kyle Pitts,ATL,138.2
183,Will Reichard,MIN,137.9
184,Joey Slye,TEN,137.4
185,Andres Borregales,NE,137.3
186,Chigoziem Okonkwo,TEN,136.8
187,Caden Davis,NYJ,136.6
188,Ricky Pearsall,SF,136.4
189,Tyler Lockett,TEN,135
190,Hunter Henry,NE,134.2
191,Brenton Strange,JAX,133.8
192,Zach Ertz,WAS,130
193,Cade Otton,TB,129.1
194,Emeka Egbuka,TB,128.9
195,Mike Gesicki,CIN,128.4
196,Diontae Johnson,CLV,127.6
197,Joshua Palmer,BUF,127.4
198,Isaiah Likely,BLT,126.5
199,Jordan Mason,MIN,126
200,Kendre Miller,NO,125.9
201,Darius Slayton,NYG,125.9
202,Rachaad White,TB,125
203,Tre Tucker,LV,123.8
204,Dalton Schultz,HST,123.4
205,Tutu Atwell,LA,122.4
206,Pittsburgh Steelers,PIT,120.2
207,Buffalo Bills,BUF,119.5
208,San Francisco 49ers,SF,118.6
209,Tank Bigsby,JAX,118.3
210,Detroit Lions,DET,117.6
211,Cleveland Browns,CLE,117
212,Jayden Higgins,HST,116.6
213,Justice Hill,BLT,116.5
214,Xavier Legette,CAR,116
215,Jalen Tolbert,DAL,114.5
216,Dallas Cowboys,DAL,114.4
217,Philadelphia Eagles,PHI,114.1
218,Andrei Iosivas,CIN,113.5
219,Denver Broncos,DEN,113.3
220,Roman Wilson,PIT,113
221,Juwan Johnson,NO,112.7
222,Noah Brown,WAS,112.3
223,Minnesota Vikings,MIN,112.2
224,Green Bay Packers,GB,111.9
225,New England Patriots,NE,111.6
226,Los Angeles (LAR) Rams,LAR,111.6
227,Houston Texans,HOU,111.5
228,Theo Johnson,NYG,110.8
229,Isaac Guerendo,SF,110.3
230,Roschon Johnson,CHI,110.3
231,Brandin Cooks,NO,110.3
232,Tampa Bay Buccaneers,TB,110.2
233,Mason Taylor,NYJ,110.1
234,New York (NYG) Giants,NYG,110.1
235,Seattle Seahawks,SEA,110.1
236,Jaydon Blue,DAL,110
237,Miami Dolphins,MIA,110
238,Ja'Tavion Sanders,CAR,109.8
239,Indianapolis Colts,IND,108.9
240,New York (NYJ) Jets,NYJ,108.9
241,JK Dobbins,DEN,108.8
242,Cincinnati Bengals,CIN,108.8
243,Trey Benson,ARZ,108.5
244,New Orleans Saints,NO,108.4
245,Arizona Cardinals,ARZ,108.2
246,Jacksonville Jaguars,JAX,108.1
247,Atlanta Falcons,ATL,107.7
248,Chicago Bears,CHI,107.3
249,Tyler Conklin,LAC,106.9
250,Kansas City Chiefs,KC,106.5
251,Las Vegas Raiders,LV,105.5
252,Tennessee Titans,TEN,105.4
253,Washington Commanders,WAS,105.4
254,Tre Harris,LAC,104.7
255,Los Angeles (LAC) Chargers,LAC,104.5
256,Baltimore Ravens,BAL,104.4
257,DeAndre Hopkins,BLT,102.9
258,Rico Dowdle,CAR,102.8
259,Ray Davis,BUF,102.6
260,Tyler Allgeier,ATL,101.7
261,Jaylen Wright,MIA,101.1
262,Noah Fant,SEA,101.1
263,Dylan Sampson,CLV,101
264,Alec Pierce,IND,99.9
265,Tyler Higbee,LA,99.9
266,Luther Burden III,CHI,98.5
267,Jalen McMillan,TB,98.2
268,Carolina Panthers,CAR,97.7
269,MarShawn Lloyd,GB,95.5
270,Najee Harris,LAC,95
271,Nick Westbrook-Ikhine,MIA,94.2
272,Dyami Brown,JAX,91
273,Mike Williams,LAC,89.7
274,KaVontae Turpin,DAL,89.5
275,Kendrick Bourne,NE,89.4
276,Marquez Valdes-Scantling,SEA,88.9
277,Devaughn Vele,DEN,88.6
278,Kyle Williams,NE,87.6
279,Will Dissly,LAC,85.4
280,Elijah Arroyo,SEA,84.5
281,Noah Gray,KC,84.2
282,Braelon Allen,NYJ,83.7
283,Tim Patrick,DET,83.2
284,Michael Mayer,LV,83
285,Austin Hooper,NE,81
286,Arian Smith,NYJ,79.9
287,Alexander Mattison,MIA,78.7
288,Pat Bryant,DEN,78.1
289,Troy Franklin,DEN,77
290,Kareem Hunt,KC,76.6
291,Jalen Nailor,MIN,75.2
292,Adonai Mitchell,IND,74.2
293,Raheem Mostert,LV,73.6
294,Dontayvion Wicks,GB,73.6
295,Dawson Knox,BUF,72.8
296,Samaje Perine,CIN,72.5
297,Nick Chubb,HST,72.4
298,Woody Marks,HST,72.4
299,Jordan Whittington,LA,72.1
300,Foster Moreau,NO,71.5
301,Blake Corum,LA,71.4
302,Parker Washington,JAX,71.3
303,AJ Dillon,PHI,71.2
304,Van Jefferson,TEN,69.6
305,Daniel Jones,IND,69.1
306,Zack Moss,CIN,68.5
307,Elijah Mitchell,KC,67.2
308,Miles Sanders,DAL,66.3
309,Josh Reynolds,NYJ,65.9
310,Ty Johnson,BUF,64.8
311,Jalen Royals,KC,64.3
312,Jahan Dotson,PHI,64.1
313,Jalen Coker,CAR,63.4
314,Malik Washington,MIA,63.1
315,Bhayshul Tuten,JAX,62.9
316,Emari Demercado,ARZ,62.8
317,Emanuel Wilson,GB,60.1
318,Chimere Dike,TEN,58.9
319,Terrance Ferguson,LA,58.6
320,Devin Singletary,NYG,58.1
321,Robert Woods,PIT,57
322,Isaiah Davis,NYJ,56.6
323,Curtis Samuel,BUF,55.1
