Rk,Player,Team,Position,ADP,Bye,FPTS,Notes,Grp
176,Chigoziem Okonkwo,TEN,TE,146.2,10,124,,
177,Matthew Stafford,LAR,QB,116.23,8,243,,
178,Ray-Ray McCloud,N/A,WR,Undrafted,,111,,
179,Alec Pierce,IND,WR,160.8,11,105,,
180,Sam Darnold,SEA,QB,138.14,8,233,,
181,Michael Wilson,ARI,WR,Undrafted,8,120,,
182,Jerome Ford,CLE,RB,143.43,9,137,,
183,Woody Marks,HOU,RB,138.15,6,66,,
184,Blake Corum,LAR,RB,Undrafted,8,68,,
185,Daniel Jones,IND,QB,122.24,11,221,,
186,Isaac Guerendo,SF,RB,149,14,42,,
187,Jaylin Noel,HOU,WR,Undrafted,6,59,,
188,Kayshon Boutte,NE,WR,Undrafted,14,82,,
189,Dalton Schultz,HOU,TE,144.76,6,120,,
190,DeAndre Hopkins,BAL,WR,145.48,7,101,,
191,Ollie Gordon II,MIA,RB,148.45,12,76,,
192,Darren Waller,MIA,TE,148.05,12,116,,
193,DJ Giddens,IND,RB,Undrafted,11,34,,
194,Darius Slayton,NYG,WR,Undrafted,14,96,,
195,Aaron Rodgers,PIT,QB,142.4,5,222,,
196,Andrei Iosivas,CIN,WR,Undrafted,10,85,,
197,Cameron Dicker,LAC,K,109.28,12,149,,
198,Jordan Whittington,LAR,WR,Undrafted,8,84,,
199,Mason Taylor,NYJ,TE,150.4,9,106,,
200,Troy Franklin,DEN,WR,162.13,12,90,,
201,Adonai Mitchell,NYJ,WR,Undrafted,9,77,,
202,Jarquez Hunter,LAR,RB,Undrafted,8,51,,
203,Pat Freiermuth,PIT,TE,147.35,5,121,,
204,Isaac TeSlaa,DET,WR,Undrafted,8,55,,
205,San Francisco 49ers D/ST,SF,DST,150.5,14,90,,
206,Olamide Zaccheaus,CHI,WR,Undrafted,5,34,,
207,Chris Boswell,PIT,K,134.32,5,147,,
208,KeAndre Lambert-Smith,LAC,WR,Undrafted,12,14,,
209,Joe Mixon,HOU,RB,128.9,6,142,,
210,Pat Bryant,DEN,WR,Undrafted,12,80,,
211,Minnesota Vikings D/ST,MIN,DST,135.53,6,123,,
212,Jack Bech,LV,WR,Undrafted,8,55,,
213,Harrison Butker,KC,K,143.44,10,142,,
214,Elijah Arroyo,SEA,TE,Undrafted,8,94,,
215,KaVontae Turpin,DAL,WR,Undrafted,10,59,,
216,Tahj Brooks,CIN,RB,Undrafted,10,45,,
217,Tutu Atwell,LAR,WR,Undrafted,8,103,,
218,Elijah Moore,BUF,WR,Undrafted,7,37,,
219,Ja'Tavion Sanders,CAR,TE,Undrafted,14,99,,
220,Kansas City Chiefs D/ST,KC,DST,146.73,10,100,,
221,Harold Fannin Jr,CLE,TE,145.6,9,60,,
222,Juwan Johnson,NO,TE,130.93,11,113,,
223,Noah Brown,WSH,WR,Undrafted,12,90,,
224,Quentin Johnston,LAC,WR,124.35,12,105,,
225,Calvin Austin,PIT,WR,Undrafted,5,119,,
226,Theo Johnson,NYG,TE,166.57,14,104,,
227,Nick Westbrook-Ikhine,MIA,WR,Undrafted,12,93,,
228,Raheem Mostert,LV,RB,Undrafted,8,74,,
229,Brandin Cooks,NO,WR,Undrafted,11,76,,
230,Justice Hill,BAL,RB,Undrafted,7,78,,
231,Elic Ayomanor,TEN,WR,Undrafted,10,79,,
232,Tyler Lockett,LV,WR,Undrafted,8,127,,
233,Ka'imi Fairbairn,HOU,K,149.49,6,147,,
234,Jaylen Wright,MIA,RB,Undrafted,12,77,,
235,Dameon Pierce,HOU,RB,Undrafted,6,36,,
236,Sean Tucker,TB,RB,Undrafted,9,37,,
237,Malik Washington,MIA,WR,Undrafted,12,70,,
238,Devaughn Vele,NO,WR,Undrafted,11,68,,
239,Kyle Monangai,CHI,RB,164.55,5,49,,
240,AJ Barner,SEA,TE,Undrafted,8,76,,
241,Matt Gay,N/A,K,150.79,,154,,
242,Noah Gray,KC,TE,Undrafted,10,73,,
243,Jalen Tolbert,DAL,WR,Undrafted,10,90,,
244,Chase McLaughlin,TB,K,128.46,9,144,,
245,Buffalo Bills D/ST,BUF,DST,144.73,7,104,,
246,Roman Wilson,PIT,WR,Undrafted,5,80,,
247,Los Angeles Chargers D/ST,LAC,DST,151.49,12,84,,
248,Arizona Cardinals D/ST,ARI,DST,154.95,8,102,,
249,Dontayvion Wicks,GB,WR,Undrafted,5,77,,
250,Amari Cooper,N/A,WR,Undrafted,,97,,
251,Joe Flacco,CIN,QB,165.32,10,135,,
252,Russell Wilson,NYG,QB,Undrafted,14,181,,
253,Josh Reynolds,NYJ,WR,Undrafted,9,101,,
254,Jalen Royals,KC,WR,Undrafted,10,37,,
255,Will Reichard,MIN,K,150.64,6,139,,
256,Jaxson Dart,NYG,QB,124.62,14,50,,
257,Tyler Higbee,LAR,TE,Undrafted,8,100,,
258,Houston Texans D/ST,HOU,DST,115.04,6,103,,
259,Kareem Hunt,KC,RB,144.32,10,92,,
260,Evan McPherson,CIN,K,155.55,10,151,,
261,Jake Elliott,PHI,K,142.26,9,150,,
262,Tyler Bass,BUF,K,144.71,7,154,,
263,Brashard Smith,KC,RB,Undrafted,10,35,,
264,Anthony Richardson,IND,QB,Undrafted,11,51,,
265,Tyler Shough,NO,QB,Undrafted,11,104,,
266,Will Dissly,LAC,TE,Undrafted,12,91,,
267,Kendre Miller,NO,RB,Undrafted,11,79,,
268,Wil Lutz,DEN,K,155.05,12,141,,
269,Chimere Dike,TEN,WR,Undrafted,10,51,,
270,Sterling Shepard,TB,WR,Undrafted,9,15,,
271,Tre Tucker,LV,WR,Undrafted,8,80,,
272,Parker Washington,JAX,WR,Undrafted,8,55,,
273,Terrance Ferguson,LAR,TE,Undrafted,8,49,,
274,Cole Kmet,CHI,TE,Undrafted,5,70,,
275,AJ Dillon,PHI,RB,Undrafted,9,27,,
276,Devin Neal,NO,RB,Undrafted,11,42,,
277,Trevor Etienne,CAR,RB,Undrafted,14,44,,
278,Detroit Lions D/ST,DET,DST,131.96,8,91,,
279,Younghoe Koo,NYG,K,152.05,14,130,,
280,Dallas Cowboys D/ST,DAL,DST,151.4,10,101,,
281,Jaylin Lane,WSH,WR,Undrafted,12,17,,
282,Greg Dortch,ARI,WR,Undrafted,8,77,,
283,Elijah Mitchell,KC,RB,Undrafted,10,38,,
284,Chad Ryland,ARI,K,Undrafted,8,138,,
285,Marshawn Lloyd,GB,RB,Undrafted,5,67,,
286,Samaje Perine,CIN,RB,Undrafted,10,64,,
287,New York Giants D/ST,NYG,DST,149.65,14,91,,
288,Zay Jones,ARI,WR,Undrafted,8,41,,
289,Seattle Seahawks D/ST,SEA,DST,119.85,8,108,,
290,Spencer Rattler,NO,QB,Undrafted,11,155,,
291,Jalen Nailor,MIN,WR,Undrafted,6,68,,
292,Tim Patrick,JAX,WR,Undrafted,8,41,,
293,Emanuel Wilson,GB,RB,Undrafted,5,40,,
294,New York Jets D/ST,NYJ,DST,152.49,9,104,,
295,Jaleel McLaughlin,DEN,RB,Undrafted,12,59,,
296,John Metchie,NYJ,WR,Undrafted,9,12,,
297,Ty Johnson,BUF,RB,Undrafted,7,77,,
298,Khalil Herbert,NYJ,RB,Undrafted,9,38,,
299,Jacob Cowing,SF,WR,Undrafted,14,11,,
300,Oronde Gadsden II,LAC,TE,155.89,12,43,,
301,Brandon McManus,GB,K,149.85,5,148,,
302,Curtis Samuel,BUF,WR,Undrafted,7,67,,
303,Devin Singletary,NYG,RB,Undrafted,14,45,,
304,Ben Sinnott,WSH,TE,Undrafted,12,38,,
305,Jordan James,SF,RB,Undrafted,14,9,,
306,Jason Sanders,MIA,K,158.15,12,114,,
307,Cleveland Browns D/ST,CLE,DST,152.61,9,59,,
308,Kenneth Gainwell,PIT,RB,147.35,5,50,,
309,Joshua Karty,LAR,K,150.74,8,146,,
310,Los Angeles Rams D/ST,LAR,DST,150.51,8,86,,
311,Tyler Loop,BAL,K,147.07,7,145,,
312,Tyler Conklin,LAC,TE,Undrafted,12,78,,
313,Kimani Vidal,LAC,RB,164.01,12,20,,
314,Luke McCaffrey,WSH,WR,Undrafted,12,38,,
315,Cam Little,JAX,K,138.52,8,135,,
316,Van Jefferson,TEN,WR,Undrafted,10,61,,
317,Jake Moody,WSH,K,149.7,12,144,,
318,Savion Williams,GB,WR,Undrafted,5,19,,
319,Spencer Shrader,IND,K,Undrafted,11,144,,
320,Jalen McMillan,TB,WR,Undrafted,9,53,,
321,New England Patriots D/ST,NE,DST,133.57,14,87,,
322,Demarcus Robinson,SF,WR,Undrafted,14,51,,
323,Jason Myers,SEA,K,157.23,8,132,,
324,Kalif Raymond,DET,WR,Undrafted,8,38,,
325,Christian Watson,GB,WR,Undrafted,5,62,,
326,Isaiah Davis,NYJ,RB,Undrafted,9,30,,
327,Marquez Valdes-Scantling,N/A,WR,Undrafted,,23,,
328,Xavier Restrepo,N/A,WR,Undrafted,,14,,
329,Tai Felton,MIN,WR,Undrafted,6,36,,
330,Jalen Milroe,SEA,QB,Undrafted,8,23,,
331,Matthew Wright,HOU,K,Undrafted,6,132,,
332,Mack Hollins,NE,WR,Undrafted,14,34,,
333,Diontae Johnson,N/A,WR,Undrafted,,62,,
334,Jermaine Burton,CIN,WR,Undrafted,10,49,,
335,Tez Johnson,TB,WR,Undrafted,9,8,,
336,Austin Hooper,NE,TE,Undrafted,14,70,,
337,Noah Fant,CIN,TE,Undrafted,10,87,,
338,Daniel Carlson,LV,K,151.7,8,134,,
339,Dawson Knox,BUF,TE,Undrafted,7,51,,
340,Allen Lazard,NYJ,WR,Undrafted,9,75,,
341,Michael Mayer,LV,TE,Undrafted,8,59,,
342,Chicago Bears D/ST,CHI,DST,149.85,5,91,,
343,Green Bay Packers D/ST,GB,DST,145.06,5,111,,
344,Grant Calcaterra,PHI,TE,Undrafted,9,31,,
345,Arian Smith,NYJ,WR,Undrafted,9,40,,
346,Isaiah Bond,CLE,WR,Undrafted,9,63,,
347,Indianapolis Colts D/ST,IND,DST,143.3,11,91,,
348,Gunnar Helm,TEN,TE,Undrafted,10,50,,
349,KhaDarel Hodge,ATL,WR,Undrafted,5,37,,
350,Tampa Bay Buccaneers D/ST,TB,DST,147.42,9,99,,
351,JuJu Smith-Schuster,KC,WR,Undrafted,10,56,,
352,Blake Grupe,NO,K,Undrafted,11,125,,
353,Luke Schoonmaker,DAL,TE,Undrafted,10,35,,
354,Malachi Corley,CLE,WR,Undrafted,9,30,,
355,Tyler Goodson,IND,RB,Undrafted,11,32,,
356,Cade Stover,HOU,TE,Undrafted,6,37,,
357,Cam Akers,N/A,RB,Undrafted,,28,,
358,Cairo Santos,CHI,K,161.57,5,136,,
359,Sincere McCormick,N/A,RB,Undrafted,,31,,
360,Audric Estime,NO,RB,Undrafted,11,37,,
361,Dare Ogunbowale,HOU,RB,Undrafted,6,15,,
362,Raheim Sanders,CLE,RB,Undrafted,9,75,,
363,Nick Nash,N/A,WR,Undrafted,,31,,
364,Antonio Gibson,NE,RB,Undrafted,14,69,,
365,Atlanta Falcons D/ST,ATL,DST,Undrafted,5,74,,
366,Taysom Hill,NO,TE,Undrafted,11,4,,
367,Gabriel Davis,N/A,WR,Undrafted,,118,,
368,Chris Brooks,GB,RB,Undrafted,5,28,,
369,Washington Commanders D/ST,WSH,DST,152.45,12,88,,
370,Jeremy McNichols,WSH,RB,Undrafted,12,18,,
371,Foster Moreau,NO,TE,Undrafted,11,47,,
372,Elijah Higgins,ARI,TE,Undrafted,8,28,,
373,Joey Slye,TEN,K,Undrafted,10,114,,
374,Nick Folk,NYJ,K,167.5,9,131,,
375,Ty Chandler,MIN,RB,Undrafted,6,18,,
376,Carolina Panthers D/ST,CAR,DST,Undrafted,14,51,,
377,Las Vegas Raiders D/ST,LV,DST,Undrafted,8,85,,
378,Graham Gano,NYG,K,Undrafted,14,127,,
379,Devontez Walker,BAL,WR,Undrafted,7,11,,
380,Jacksonville Jaguars D/ST,JAX,DST,Undrafted,8,86,,
381,Zamir White,LV,RB,Undrafted,8,49,,
382,Jalin Hyatt,NYG,WR,Undrafted,14,34,,
383,Gus Edwards,N/A,RB,Undrafted,,67,,
384,Cincinnati Bengals D/ST,CIN,DST,Undrafted,10,70,,
385,Dillon Gabriel,CLE,QB,Undrafted,9,47,,
386,Luke Musgrave,GB,TE,Undrafted,5,43,,
387,Dustin Hopkins,N/A,K,Undrafted,,104,,
388,Ricky White III,N/A,WR,Undrafted,,77,,
389,Kendrick Bourne,SF,WR,Undrafted,14,40,,
390,Trey Sermon,N/A,RB,Undrafted,,9,,
391,New Orleans Saints D/ST,NO,DST,Undrafted,11,77,,
392,Miami Dolphins D/ST,MIA,DST,Undrafted,12,70,,
393,Tyler Boyd,N/A,WR,Undrafted,,82,,
394,Tennessee Titans D/ST,TEN,DST,Undrafted,10,65,,
395,Kenny Pickett,LV,QB,Undrafted,8,6,,
396,Jamaal Williams,N/A,RB,Undrafted,,38,,
397,Shedeur Sanders,CLE,QB,Undrafted,9,43,,
398,Emari Demercado,ARI,RB,Undrafted,8,36,,
399,Michael Carter,ARI,RB,Undrafted,8,14,,
400,Dylan Laube,LV,RB,Undrafted,8,50,,
401,Clyde Edwards-Helaire,N/A,RB,Undrafted,,26,,
402,Phil Mafah,DAL,RB,Undrafted,10,9,,
403,Craig Reynolds,DET,RB,Undrafted,8,15,,
