player_name,team,position,adp,min_draft_position,max_draft_position,bye_week,is_bye_week5,is_bye_week6,is_bye_week7,is_bye_week8,is_bye_week9,is_bye_week10,is_bye_week11,is_bye_week12,is_bye_week14,is_qb_eligible,is_rb_eligible,is_wr_eligible,is_te_eligible,is_flex_eligible,pff_ppr_projected_points,numberfire_ppr_projected_points,rotoballer_ppr_projected_points,athletic_ppr_projected_points,athletic_half_projected_points,athletic_std_projected_points,week11_actual_ppr_points
Jerome Ford,CLE,RB,144.45,94,180,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,47.2,148.6,137,92.30168237,85.48201317,78.66234397,36.2
Joshua Palmer,BUF,WR,144.48,109,178,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,127.4,142.2113622,119,180.2340866,147.8876963,115.5413061,45.2
Xavier Legette,CAR,WR,145.36,93,194,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,116,154.4,155,174.4137676,142.9197684,111.4257692,68.4
Kyle Pitts,ATL,TE,145.39,109,178,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,138.2,148.0216878,138,167.8650634,136.3233378,104.7816123,96.4
Rachaad White,TB,RB,148.32,107,188,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,125,151.4,123,103.008188,91.88655495,80.76492189,104
Joe Mixon,HOU,RB,148.54,86,228,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,217.2,159.2,142,92.01930635,84.84043011,77.66155386,0
Wan'Dale Robinson,NYG,WR,151.13,111,193,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,177.8,135.2,148,153.083766,119.9454218,86.80707758,133
Tyjae Spears,TEN,RB,153.38,127,206,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,150.6,139.5,106,126.9447084,111.2346129,95.52451749,52.2
Woody Marks,HOU,RB,154.52,121,200,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,72.4,115.5,66,83.38331216,73.27732683,63.1713415,101.7
Dallas Goedert,PHI,TE,156.97,109,191,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,148.9,138.6293693,138,128.9881079,103.0868814,77.18565493,113.6
Justin Herbert,LAC,QB,156.99,107,197,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,275,313.3,294,283.0843031,283.0843031,283.0843031,215.1
Romeo Doubs,GB,WR,157.64,126,191,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,171.2,155.5953378,128,167.5860134,137.2152244,106.8444355,112.9
Will Shipley,PHI,RB,157.81,133,191,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,33.1,50.24202494,42,75.62607481,67.61984775,59.61362068,11.3
Jordan Love,GB,QB,158.51,114,213,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,266,296.4,272,274.3832697,274.3832697,274.3832697,168.3
JJ McCarthy,MIN,QB,158.96,114,205,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,257.3,318.4,280,266.8455151,266.8455151,266.8455151,72.7
Isaac TeSlaa,DET,WR,159.71,115,240,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,41.5,66.7360694,55,103.7082082,84.47449007,65.24077193,22.5
Adam Thielen,MIN,WR,160.06,110,201,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,165.3,139.6,119,89.77456471,71.94800301,54.12144132,14.9
CJ Stroud,HOU,QB,161.41,119,227,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,259.2,298.6,258,295.9147245,295.9147245,295.9147245,126
Rico Dowdle,CAR,RB,161.62,133,210,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,102.8,114.5,94,93.58693707,85.69071134,77.79448562,162
Trevor Lawrence,JAX,QB,162.01,116,203,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,254,264.2132732,239,299.6398196,299.6398196,299.6398196,170.1
Tre Harris,LAC,WR,169.09,109,236,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,104.7,152.3,111,122.5798949,100.8458709,79.11184704,35.7
Keaton Mitchell,BAL,RB,169.12,139,214,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,47,86.3,56,63.67271278,54.92727158,46.18183038,19.9
Blake Corum,LA,RB,169.77,108,225,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,71.4,128.3,68,53.8132082,51.06307147,48.31293474,43.7
Dont'e Thornton Jr,LV,WR,171.08,118,210,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,38.3,65.08793197,71,85.9637959,69.90180115,53.8398064,15.8
Kyle Williams,NE,WR,175.85,125,234,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,87.6,84.76163267,92,74.68489801,61.08109145,47.47728489,18
Hunter Henry,NE,TE,175.94,134,221,14,0,0,0,0,0,0,0,0,1,0,0,0,1,1,134.2,143.8389547,131,166.316864,133.6929205,101.068977,100.2
DJ Giddens,IND,RB,178.2,150,216,11,0,0,0,0,0,0,1,0,0,0,1,0,0,1,46.4,48.61789539,34,65.45368617,59.3623203,53.27095443,6.6
Brenton Strange,JAX,TE,178.55,143,225,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,133.8,118.1,132,148.5522908,118.1112476,87.67020439,40.4
Tahj Brooks,CIN,RB,180.72,147,228,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2.1,43.50449236,45,83.41347709,75.03182193,66.65016677,2.3
Chris Rodriguez,WAS,RB,181.11,101,240,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,13.5,42.83707782,54,61.01123345,59.16867112,57.32610878,47.5
Elic Ayomanor,TEN,WR,181.4,130,236,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,31.7,80.04409466,79,129.432284,105.2483744,81.06446486,73.4
Zach Ertz,WAS,TE,183.82,136,228,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,130,124.8,139,122.5084508,98.38311585,74.25778092,101.7
Quentin Johnston,LAC,WR,184.77,143,239,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,174.6,130.8,105,113.9895987,93.49524437,73.00089006,123.9
Pat Bryant,DEN,WR,187.47,126,240,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,78.1,72.93388302,80,60.70164905,48.96959473,37.23754041,44.1
Kendre Miller,NO,RB,187.52,136,238,11,0,0,0,0,0,0,1,0,0,0,1,0,0,1,125.9,99.1696879,79,92.60906371,89.1826445,85.75622528,33.3
Amari Cooper,LV,WR,188.61,137,235,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,122.6552585,122.6552585,97,148.310517,119.2982876,90.28605809,0
Isaac Guerendo,SF,RB,188.89,139,237,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,110.3,63.71136634,42,38.83409903,36.95206609,35.07003315,0
Kyle Monangai,CHI,RB,189.21,129,238,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,17.5,47.62745574,49,76.38236721,73.39902785,70.41568848,79
Chigoziem Okonkwo,TEN,TE,191.33,145,237,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,136.8,124.2026956,124,111.8080867,88.85897204,65.90985736,65.7
Jonnu Smith,PIT,TE,194.13,134,239,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,179.8,142.4110582,126,121.4331746,98.25890465,75.08463469,55.3
Kareem Hunt,KC,RB,194.38,148,236,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,76.6,93.9,92,56.67363021,52.24827396,47.82291772,93.9
Brashard Smith,KC,RB,196.8,157,234,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,7.2,49.59606657,35,106.5881997,88.17271205,69.75722437,37.2
Michael Penix Jr,ATL,QB,196.83,147,240,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,234.7,254.5271892,258,270.8815675,270.8815675,270.8815675,125.3
Isaiah Likely,BAL,TE,197.02,151,240,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,126.5,123,110,131.1482394,108.5505889,85.9529385,23.8
Roschon Johnson,CHI,RB,197.54,148,238,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,110.3,84.87527931,78,66.32583793,60.43835017,54.5508624,1.7
Troy Franklin,DEN,WR,199.39,155,234,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,77,83.25246258,90,82.75738774,67.49412921,52.23087068,127.8
Justice Hill,BAL,RB,199.62,138,240,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,116.5,71.84574813,78,21.03724439,18.21483199,15.39241958,65.2
Bryce Young,CAR,QB,200.12,159,239,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,223.1,246.3212802,243,272.8638406,272.8638406,272.8638406,141.8
Dameon Pierce,HOU,RB,202.69,124,240,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,27.11520355,36,45.34561065,39.87810111,34.41059156,2.6
Tory Horton,SEA,WR,206.28,158,240,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,39.6,89.64747608,94,135.3424282,111.9752963,88.60816435,59.1
Sean Tucker,TB,RB,206.77,162,240,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,21.3,29.90232109,37,31.40696326,28.94746178,26.4879603,63.5
Jaylen Wright,MIA,RB,207.82,146,239,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,101.1,110.8,77,70.91157398,60.56695153,50.22232908,5.9
Jalen Coker,CAR,WR,208.95,124,240,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,63.4,102.744981,112,132.834943,107.3485764,81.8622097,22.8
Tua Tagovailoa,MIA,QB,210.88,148,240,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,264.2,263.8715605,248,279.4146816,279.4146816,279.4146816,143.7
Jarquez Hunter,LA,RB,211.97,163,239,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,37.8,48.78253337,51,57.54760012,52.351891,47.15618187,0
Mason Taylor,NYJ,TE,214.49,135,240,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,110.1,123.3601856,106,153.9805568,123.5182524,93.05594797,67.6
Michael Wilson,ARZ,WR,215.33,130,240,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,139.3,117.1610376,120,92.18311283,74.5707489,56.95838496,84.6
Cam Ward,TEN,QB,215.75,148,239,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,242.3,249.0699436,243,261.9098307,261.9098307,261.9098307,104.1
Matthew Stafford,LA,QB,229.11,167,240,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,253.8,275.1,243,236.889778,236.889778,236.889778,207.4
Sam Darnold,SEA,QB,233.15,178,240,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,254.8,275.6,233,282.3900665,282.3900665,282.3900665,164.6
Geno Smith,LV,QB,233.76,175,239,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,260.3,264.0255226,248,283.7765679,283.7765679,283.7765679,128.5
Jaxson Dart,NYG,QB,239.44,205,240,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,54.9,58.60047467,50,70.90142402,70.90142402,70.90142402,167.4
Aaron Rodgers,PIT,QB,240.07,201,239,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,254.1,241.4879677,222,248.363903,248.363903,248.363903,150.4
Anthony Richardson,IND,QB,240.3,210,229,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,237.2,293.5,51,113.6135435,113.6135435,113.6135435,0.3
Daniel Jones,IND,QB,240.43,229,237,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,69.1,157.3867189,221,182.0601566,182.0601566,182.0601566,203.7
Joe Flacco,CIN,QB,240.6,226,240,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,34.7,104.768453,135,144.6053591,144.6053591,144.6053591,146.5
